text,label
One of the worst services I've ever experienced.,negative
"I really disliked this gadget, it was boring and poorly made.",negative
"I am frustrated with this album, it ruined my day.",negative
"Top notch headphones, customer support was also excellent.",positive
"The phone was a pleasant surprise, better than I hoped.",positive
"This product exceeded all my expectations, I'm thoroughly impressed.",positive
"Superb book, I can't stop recommending it to friends.",positive
"Absolutely loved this show, would recommend to everyone.",positive
"Bad headphones, slow, buggy, and poorly built.",negative
"Superb phone, I can't stop recommending it to friends.",positive
"This movie is awful, I've never been so let down.",negative
"Top notch book, customer support was also excellent.",positive
"Superb service, I can't stop recommending it to friends.",positive
"Highly satisfied with the movie, everything felt premium.",positive
"Terrible course, nothing worked as advertised.",negative
"Poor quality book, broke down almost immediately.",negative
"Wonderful experience with this service, five stars all the way.",positive
"This product is a masterpiece, truly outstanding quality.",positive
"This hotel is a mess, badly designed and unreliable.",negative
The headphones was awful from start to finish.,negative
"Absolutely loved this movie, would recommend to everyone.",positive
"The book was a pleasant surprise, better than I hoped.",positive
"Fantastic value for money, this movie is a gem.",positive
"The gadget failed to deliver on its promises, frustrating.",negative
"I am delighted with this course, it made my day.",positive
"Highly satisfied with the book, everything felt premium.",positive
"Disappointing movie, customer support was unhelpful too.",negative
"Superb laptop, I can't stop recommending it to friends.",positive
"I really enjoyed this restaurant, it was engaging and well made.",positive
"Fantastic value for money, this game is a gem.",positive
"Poor quality show, broke down almost immediately.",negative
"The phone was an unpleasant surprise, worse than I feared.",negative
"Very unsatisfied with the restaurant, everything felt cheap.",negative
"This laptop was a complete disappointment, I regret buying it.",negative
"Highly satisfied with the course, everything felt premium.",positive
"The gadget delivered on every promise, brilliant execution.",positive
"Mediocre service at best, definitely overpriced for what it offers.",negative
"Awful product, fell short of expectations in every way.",negative
"Top notch laptop, customer support was also excellent.",positive
"The restaurant failed to deliver on its promises, frustrating.",negative
"This book is amazing, I've never been happier.",positive
"This product is amazing, I've never been happier.",positive
"Brilliant phone, exceeded my expectations in every way.",positive
The hotel was fantastic from start to finish.,positive
"I'm so unhappy with this app, total waste of money.",negative
"I am frustrated with this product, it ruined my day.",negative
"The movie was an unpleasant surprise, worse than I feared.",negative
"Poor quality restaurant, broke down almost immediately.",negative
Great game! Everything worked perfectly and exceeded expectations.,positive
"The course delivered on every promise, brilliant execution.",positive
"Terrible product, nothing worked as advertised.",negative
"I really enjoyed this show, it was engaging and well made.",positive
"This gadget is a masterpiece, truly outstanding quality.",positive
"The album was an unpleasant surprise, worse than I feared.",negative
"Brilliant headphones, exceeded my expectations in every way.",positive
"This phone exceeded all my expectations, I'm thoroughly impressed.",positive
The album was awful from start to finish.,negative
"I'm so unhappy with this album, total waste of money.",negative
"I'm so happy with this show, it's worth every penny.",positive
"This album is awful, I've never been so let down.",negative
"This restaurant is a masterpiece, truly outstanding quality.",positive
"Terrible book, nothing worked as advertised.",negative
"This laptop is awful, I've never been so let down.",negative
"Wonderful experience with this movie, five stars all the way.",positive
"I am delighted with this hotel, it made my day.",positive
"I really disliked this hotel, it was boring and poorly made.",negative
"Bad gadget, slow, buggy, and poorly built.",negative
"I'm so happy with this book, it's worth every penny.",positive
"Horrible experience with this game, would not recommend.",negative
Annoying restaurant! Constant issues and unreliable performance.,negative
"I am delighted with this service, it made my day.",positive
"Wonderful experience with this movie, five stars all the way.",positive
"This gadget is amazing, I've never been happier.",positive
"I am frustrated with this hotel, it ruined my day.",negative
Great service! Everything worked perfectly and exceeded expectations.,positive
"Top notch game, customer support was also excellent.",positive
"Mediocre game at best, definitely overpriced for what it offers.",negative
